,datetime,user,action,pc
0,2018-01-01 00:21:56,usr-iea,login,pc63
1,2018-01-01 01:29:51,usr-dnm,login,pc95
2,2018-01-01 01:32:20,usr-nxa,login,pc9
3,2018-01-01 01:41:58,usr-pum,login,pc2
4,2018-01-01 01:46:17,usr-gtn,login,pc52
5,2018-01-01 01:46:30,usr-rhm,login,pc29
6,2018-01-01 01:51:38,usr-sof,login,pc65
7,2018-01-01 02:39:58,usr-vrp,login,pc75
8,2018-01-01 02:55:38,usr-qvn,login,pc55
9,2018-01-01 02:57:25,usr-mnt,login,pc4
10,2018-01-01 03:15:20,usr-idp,login,pc1
11,2018-01-01 03:35:14,usr-wyv,login,pc21
12,2018-01-01 03:46:45,usr-bxf,login,pc54
13,2018-01-01 03:52:23,usr-ota,login,pc39
14,2018-01-01 04:05:33,usr-tfl,login,pc45
15,2018-01-01 04:06:24,usr-nvf,login,pc20
16,2018-01-01 04:07:58,usr-rgi,login,pc78
17,2018-01-01 04:15:33,usr-slo,login,pc30
18,2018-01-01 04:27:52,usr-tss,login,pc26
19,2018-01-01 04:28:50,usr-xwq,login,pc15
20,2018-01-01 04:31:36,usr-pda,login,pc49
21,2018-01-01 04:33:18,usr-czr,login,pc41
22,2018-01-01 04:40:49,usr-oja,login,pc12
23,2018-01-01 04:43:07,usr-tqi,login,pc79
24,2018-01-01 04:52:19,usr-qms,login,pc18
25,2018-01-01 04:57:31,usr-yfq,login,pc23
26,2018-01-01 04:59:19,usr-vrt,login,pc31
27,2018-01-01 05:01:54,usr-jsp,login,pc17
28,2018-01-01 05:03:50,usr-aha,login,pc53
29,2018-01-01 05:09:32,usr-mvs,login,pc58
30,2018-01-01 05:14:59,usr-bsg,login,pc64
31,2018-01-01 05:21:57,usr-kzs,login,pc72
32,2018-01-01 05:26:22,usr-aoa,login,pc43
33,2018-01-01 05:30:32,usr-phx,login,pc19
34,2018-01-01 05:39:16,usr-pdv,login,pc69
35,2018-01-01 05:42:32,usr-zhs,login,pc6
36,2018-01-01 05:43:21,usr-cil,login,pc87
37,2018-01-01 05:46:49,usr-dmr,login,pc74
38,2018-01-01 05:47:18,usr-tsz,login,pc85
39,2018-01-01 05:50:47,usr-jow,login,pc48
40,2018-01-01 05:54:15,usr-tyw,login,pc81
41,2018-01-01 05:54:50,usr-qpa,login,pc70
42,2018-01-01 05:55:03,usr-jeg,login,pc60
43,2018-01-01 05:58:58,usr-jxf,login,pc62
44,2018-01-01 06:17:48,usr-zee,login,pc84
45,2018-01-01 06:20:25,usr-esz,login,pc0
46,2018-01-01 06:23:14,usr-xjd,login,pc14
47,2018-01-01 06:42:41,usr-jxt,login,pc99
48,2018-01-01 06:43:19,usr-dpa,login,pc3
49,2018-01-01 06:47:15,usr-yrg,login,pc34
50,2018-01-01 06:48:17,usr-jcc,login,pc61
51,2018-01-01 06:58:04,usr-esr,login,pc82
52,2018-01-01 07:16:36,usr-bjw,login,pc25
53,2018-01-01 07:24:01,usr-cnd,login,pc91
54,2018-01-01 07:29:21,usr-amz,login,pc32
55,2018-01-01 07:52:43,usr-rhc,login,pc76
56,2018-01-01 08:04:13,usr-srd,login,pc88
57,2018-01-01 08:06:31,usr-rjr,login,pc96
58,2018-01-01 08:12:19,usr-awo,login,pc5
59,2018-01-01 08:27:58,usr-cef,login,pc77
60,2018-01-01 08:31:22,usr-mja,login,pc71
61,2018-01-01 08:36:45,usr-knz,login,pc50
62,2018-01-01 08:41:16,usr-ywt,login,pc66
63,2018-01-01 08:42:01,usr-zbg,login,pc92
64,2018-01-01 08:43:17,usr-dix,login,pc51
65,2018-01-01 09:00:41,usr-rtz,login,pc38
66,2018-01-01 09:01:54,usr-kng,login,pc73
67,2018-01-01 09:01:56,usr-ffq,login,pc27
68,2018-01-01 09:02:26,usr-kdj,login,pc80
69,2018-01-01 09:04:24,usr-vun,login,pc59
70,2018-01-01 09:04:37,usr-ibv,login,pc42
71,2018-01-01 09:09:07,usr-rud,login,pc13
72,2018-01-01 09:11:37,usr-huz,login,pc56
73,2018-01-01 09:12:03,usr-ram,login,pc8
74,2018-01-01 09:13:04,usr-nqv,login,pc16
75,2018-01-01 09:13:45,usr-kaa,login,pc7
76,2018-01-01 09:17:17,usr-svn,login,pc68
77,2018-01-01 09:17:34,usr-pkd,login,pc97
78,2018-01-01 09:20:31,usr-ihi,login,pc44
79,2018-01-01 09:24:02,usr-lnl,login,pc37
80,2018-01-01 09:25:55,usr-fvh,login,pc94
81,2018-01-01 09:27:40,usr-idz,login,pc89
82,2018-01-01 09:28:00,usr-kba,login,pc98
83,2018-01-01 09:34:18,usr-ufr,login,pc40
84,2018-01-01 09:40:18,usr-kbn,login,pc83
85,2018-01-01 09:42:17,usr-lhv,login,pc11
86,2018-01-01 09:42:42,usr-snf,login,pc93
87,2018-01-01 09:44:43,usr-csr,login,pc86
88,2018-01-01 09:47:54,usr-yop,login,pc10
89,2018-01-01 09:48:12,usr-lpx,login,pc24
90,2018-01-01 09:50:07,usr-fvi,login,pc47
91,2018-01-01 09:52:05,usr-xqz,login,pc33
92,2018-01-01 09:52:22,usr-jat,login,pc90
93,2018-01-01 09:55:03,usr-ohq,login,pc57
94,2018-01-01 09:59:20,usr-mgl,login,pc67
95,2018-01-01 11:05:21,usr-ffi,login,pc46
96,2018-01-01 11:10:25,usr-gqn,login,pc36
97,2018-01-01 12:25:16,usr-cov,login,pc22
98,2018-01-01 12:43:51,usr-bpl,login,pc35
99,2018-01-01 12:55:48,usr-ayg,login,pc28
100,2018-01-01 14:00:28,usr-kng,logoff,pc73
101,2018-01-01 14:06:48,usr-cnd,logoff,pc91
102,2018-01-01 14:13:22,usr-rhc,logoff,pc76
103,2018-01-01 14:27:15,usr-fvh,logoff,pc94
104,2018-01-01 14:27:23,usr-lhv,logoff,pc11
105,2018-01-01 14:34:07,usr-awo,logoff,pc5
106,2018-01-01 14:39:13,usr-kdj,logoff,pc80
107,2018-01-01 14:41:54,usr-rgi,logoff,pc78
108,2018-01-01 14:42:40,usr-nqv,logoff,pc16
109,2018-01-01 14:52:34,usr-knz,logoff,pc50
110,2018-01-01 15:00:08,usr-vrp,logoff,pc75
111,2018-01-01 15:02:00,usr-pkd,logoff,pc97
112,2018-01-01 15:04:58,usr-esz,logoff,pc0
113,2018-01-01 15:05:38,usr-mja,logoff,pc71
114,2018-01-01 15:06:14,usr-dpa,logoff,pc3
115,2018-01-01 15:06:24,usr-jeg,logoff,pc60
116,2018-01-01 15:27:29,usr-ffq,logoff,pc27
117,2018-01-01 15:35:10,usr-bsg,logoff,pc64
118,2018-01-01 15:38:40,usr-csr,logoff,pc86
119,2018-01-01 15:43:56,usr-zbg,logoff,pc92
120,2018-01-01 15:47:38,usr-cef,logoff,pc77
121,2018-01-01 15:47:57,usr-rjr,logoff,pc96
122,2018-01-01 15:52:33,usr-rud,logoff,pc13
123,2018-01-01 15:56:42,usr-vrt,logoff,pc31
124,2018-01-01 16:00:59,usr-tsz,logoff,pc85
125,2018-01-01 16:16:06,usr-jsp,logoff,pc17
126,2018-01-01 16:17:40,usr-slo,logoff,pc30
127,2018-01-01 16:19:44,usr-xwq,logoff,pc15
128,2018-01-01 16:49:54,usr-phx,logoff,pc19
129,2018-01-01 16:51:43,usr-cil,logoff,pc87
130,2018-01-01 16:52:32,usr-tyw,logoff,pc81
131,2018-01-01 16:58:09,usr-zhs,logoff,pc6
132,2018-01-01 17:00:07,usr-lnl,logoff,pc37
133,2018-01-01 17:01:04,usr-lpx,logoff,pc24
134,2018-01-01 17:01:18,usr-kaa,logoff,pc7
135,2018-01-01 17:02:05,usr-svn,logoff,pc68
136,2018-01-01 17:02:44,usr-rtz,logoff,pc38
137,2018-01-01 17:05:50,usr-ram,logoff,pc8
138,2018-01-01 17:06:02,usr-ibv,logoff,pc42
139,2018-01-01 17:08:14,usr-jat,logoff,pc90
140,2018-01-01 17:15:59,usr-huz,logoff,pc56
141,2018-01-01 17:16:02,usr-kbn,logoff,pc83
142,2018-01-01 17:16:42,usr-ufr,logoff,pc40
143,2018-01-01 17:17:27,usr-ohq,logoff,pc57
144,2018-01-01 17:19:32,usr-vun,logoff,pc59
145,2018-01-01 17:19:41,usr-snf,logoff,pc93
146,2018-01-01 17:24:24,usr-fvi,logoff,pc47
147,2018-01-01 17:29:04,usr-xqz,logoff,pc33
148,2018-01-01 17:30:20,usr-kba,logoff,pc98
149,2018-01-01 17:37:40,usr-ihi,logoff,pc44
150,2018-01-01 17:39:43,usr-wyv,logoff,pc21
151,2018-01-01 17:51:59,usr-idz,logoff,pc89
152,2018-01-01 17:54:01,usr-mgl,logoff,pc67
153,2018-01-01 18:05:12,usr-kzs,logoff,pc72
154,2018-01-01 18:21:43,usr-amz,logoff,pc32
155,2018-01-01 18:50:05,usr-tfl,logoff,pc45
156,2018-01-01 18:50:19,usr-yfq,logoff,pc23
157,2018-01-01 18:59:22,usr-dmr,logoff,pc74
158,2018-01-01 19:07:36,usr-tss,logoff,pc26
159,2018-01-01 19:13:02,usr-yrg,logoff,pc34
160,2018-01-01 19:20:00,usr-jxt,logoff,pc99
161,2018-01-01 19:26:20,usr-cov,logoff,pc22
162,2018-01-01 19:35:25,usr-jcc,logoff,pc61
163,2018-01-01 19:41:24,usr-pda,logoff,pc49
164,2018-01-01 19:54:45,usr-aha,logoff,pc53
165,2018-01-01 19:58:14,usr-qms,logoff,pc18
166,2018-01-01 20:05:58,usr-ayg,logoff,pc28
