,datetime,user,action,pc
0,2018-01-01 04:38:47.335047,usr-tss,usb_insert,pc26
1,2018-01-01 05:08:06.392773,usr-tss,usb_remove,pc26
2,2018-01-01 05:42:52.185559,usr-tss,usb_insert,pc26
3,2018-01-01 05:51:15.211345,usr-pda,usb_insert,pc49
4,2018-01-01 05:54:07.360122,usr-tss,usb_insert,pc26
5,2018-01-01 05:56:05.995988,usr-aha,usb_insert,pc53
6,2018-01-01 05:56:18.642129,usr-aha,usb_remove,pc53
7,2018-01-01 05:57:12.310751,usr-tss,usb_remove,pc26
8,2018-01-01 06:00:50.592702,usr-pda,usb_remove,pc49
9,2018-01-01 06:01:52.484746,usr-pda,usb_insert,pc49
10,2018-01-01 06:03:12.255261,usr-xwq,usb_insert,pc15
11,2018-01-01 06:06:30.492651,usr-tss,usb_remove,pc26
12,2018-01-01 06:07:27.276232,usr-qpa,usb_insert,pc70
13,2018-01-01 06:11:32.114351,usr-xwq,usb_remove,pc15
14,2018-01-01 06:20:50.962425,usr-slo,usb_insert,pc30
15,2018-01-01 06:21:56.280319,usr-pda,usb_remove,pc49
16,2018-01-01 06:24:01.843452,usr-tfl,usb_insert,pc45
17,2018-01-01 06:30:45.390778,usr-qpa,usb_remove,pc70
18,2018-01-01 06:32:33.893372,usr-tfl,usb_remove,pc45
19,2018-01-01 06:32:37.903874,usr-jeg,usb_insert,pc60
20,2018-01-01 06:33:31.636957,usr-tfl,usb_insert,pc45
21,2018-01-01 06:46:58.299715,usr-xwq,usb_insert,pc15
22,2018-01-01 06:47:38.381354,usr-tfl,usb_remove,pc45
23,2018-01-01 06:55:01.044125,usr-tyw,usb_insert,pc81
24,2018-01-01 06:55:10.966837,usr-xwq,usb_remove,pc15
25,2018-01-01 07:02:02.603424,usr-slo,usb_remove,pc30
26,2018-01-01 07:03:33.204910,usr-qpa,usb_insert,pc70
27,2018-01-01 07:05:54.811791,usr-tsz,usb_insert,pc85
28,2018-01-01 07:06:34.866399,usr-dmr,usb_insert,pc74
29,2018-01-01 07:18:50.510680,usr-slo,usb_insert,pc30
30,2018-01-01 07:20:43.875066,usr-zee,usb_insert,pc84
31,2018-01-01 07:21:49.436438,usr-jeg,usb_remove,pc60
32,2018-01-01 07:21:50.659297,usr-tyw,usb_remove,pc81
33,2018-01-01 07:21:51.241393,usr-dmr,usb_remove,pc74
34,2018-01-01 07:24:44.816455,usr-qpa,usb_remove,pc70
35,2018-01-01 07:35:13.512171,usr-bsg,usb_insert,pc64
36,2018-01-01 07:44:48.133304,usr-zee,usb_remove,pc84
37,2018-01-01 07:47:28.226127,usr-dmr,usb_insert,pc74
38,2018-01-01 07:51:00.803367,usr-tsz,usb_remove,pc85
39,2018-01-01 07:54:51.769664,usr-qpa,usb_insert,pc70
40,2018-01-01 07:57:14.682528,usr-pda,usb_insert,pc49
41,2018-01-01 07:57:56.402672,usr-jow,usb_insert,pc48
42,2018-01-01 07:58:34.486812,usr-slo,usb_remove,pc30
43,2018-01-01 07:59:03.182743,usr-jcc,usb_insert,pc61
44,2018-01-01 08:01:00.282101,usr-dmr,usb_remove,pc74
45,2018-01-01 08:03:10.057505,usr-jcc,usb_insert,pc61
46,2018-01-01 08:03:15.682096,usr-bsg,usb_remove,pc64
47,2018-01-01 08:03:28.196059,usr-jcc,usb_remove,pc61
48,2018-01-01 08:14:14.277433,usr-qpa,usb_remove,pc70
49,2018-01-01 08:19:14.535778,usr-tss,usb_insert,pc26
50,2018-01-01 08:19:40.558170,usr-jcc,usb_remove,pc61
51,2018-01-01 08:19:52.600511,usr-yrg,usb_insert,pc34
52,2018-01-01 08:25:17.058566,usr-yrg,usb_insert,pc34
53,2018-01-01 08:30:51.599046,usr-jow,usb_remove,pc48
54,2018-01-01 08:32:20.321948,usr-pdv,usb_insert,pc69
55,2018-01-01 08:36:05.245801,usr-pda,usb_remove,pc49
56,2018-01-01 08:51:31.321178,usr-jeg,usb_insert,pc60
57,2018-01-01 08:55:40.097107,usr-yrg,usb_remove,pc34
58,2018-01-01 08:59:01.583299,usr-jeg,usb_remove,pc60
59,2018-01-01 09:00:37.463053,usr-oja,usb_insert,pc12
60,2018-01-01 09:07:40.752881,usr-qpa,usb_insert,pc70
61,2018-01-01 09:09:46.867088,usr-tss,usb_remove,pc26
62,2018-01-01 09:11:35.316332,usr-qpa,usb_remove,pc70
63,2018-01-01 09:12:24.480423,usr-yrg,usb_remove,pc34
64,2018-01-01 09:13:23.951979,usr-tfl,usb_insert,pc45
65,2018-01-01 09:16:37.566806,usr-zbg,usb_insert,pc92
66,2018-01-01 09:17:42.716849,usr-nqv,usb_insert,pc16
67,2018-01-01 09:22:17.924931,usr-rud,usb_insert,pc13
68,2018-01-01 09:23:26.420976,usr-rud,usb_remove,pc13
69,2018-01-01 09:25:21.798838,usr-pdv,usb_remove,pc69
70,2018-01-01 09:29:46.131071,usr-tfl,usb_remove,pc45
71,2018-01-01 09:30:32.636464,usr-nvf,usb_insert,pc20
72,2018-01-01 09:32:20.405114,usr-yrg,usb_insert,pc34
73,2018-01-01 09:33:24.750592,usr-kdj,usb_insert,pc80
74,2018-01-01 09:33:48.840314,usr-nqv,usb_remove,pc16
75,2018-01-01 09:34:47.348450,usr-aha,usb_insert,pc53
76,2018-01-01 09:51:05.177546,usr-ufr,usb_insert,pc40
77,2018-01-01 09:51:45.439080,usr-oja,usb_remove,pc12
78,2018-01-01 09:53:32.104850,usr-dmr,usb_insert,pc74
79,2018-01-01 09:53:50.564729,usr-zbg,usb_remove,pc92
80,2018-01-01 09:57:37.779466,usr-kdj,usb_remove,pc80
81,2018-01-01 09:58:04.925897,usr-dpa,usb_insert,pc3
82,2018-01-01 09:58:17.780995,usr-kdj,usb_insert,pc80
83,2018-01-01 09:58:58.251118,usr-ohq,usb_insert,pc57
84,2018-01-01 10:03:21.463357,usr-jcc,usb_insert,pc61
85,2018-01-01 10:04:36.722141,usr-zbg,usb_insert,pc92
86,2018-01-01 10:09:29.542458,usr-rjr,usb_insert,pc96
87,2018-01-01 10:09:56.230614,usr-ufr,usb_remove,pc40
88,2018-01-01 10:13:46.825706,usr-qpa,usb_insert,pc70
89,2018-01-01 10:13:55.767589,usr-tfl,usb_insert,pc45
90,2018-01-01 10:15:23.059379,usr-jxt,usb_insert,pc99
91,2018-01-01 10:15:36.573173,usr-vrt,usb_insert,pc31
92,2018-01-01 10:15:42.285813,usr-ohq,usb_remove,pc57
93,2018-01-01 10:16:36.737697,usr-nvf,usb_remove,pc20
94,2018-01-01 10:19:51.093405,usr-kdj,usb_remove,pc80
95,2018-01-01 10:22:21.569572,usr-aha,usb_remove,pc53
96,2018-01-01 10:24:09.125573,usr-yrg,usb_remove,pc34
97,2018-01-01 10:24:41.231615,usr-zbg,usb_remove,pc92
98,2018-01-01 10:25:05.640502,usr-jxt,usb_remove,pc99
99,2018-01-01 10:26:01.126621,usr-nqv,usb_insert,pc16
100,2018-01-01 10:28:23.009716,usr-ram,usb_insert,pc8
101,2018-01-01 10:28:51.641803,usr-qpa,usb_remove,pc70
102,2018-01-01 10:28:55.287448,usr-jeg,usb_insert,pc60
103,2018-01-01 10:29:16.469536,usr-jeg,usb_insert,pc60
104,2018-01-01 10:30:40.950432,usr-rjr,usb_remove,pc96
105,2018-01-01 10:30:47.950589,usr-jcc,usb_remove,pc61
106,2018-01-01 10:30:56.190732,usr-cil,usb_insert,pc87
107,2018-01-01 10:31:47.769959,usr-vrt,usb_remove,pc31
108,2018-01-01 10:32:47.077906,usr-tfl,usb_remove,pc45
109,2018-01-01 10:35:07.424234,usr-csr,usb_insert,pc86
110,2018-01-01 10:37:02.322910,usr-csr,usb_remove,pc86
111,2018-01-01 10:40:35.732148,usr-dmr,usb_remove,pc74
112,2018-01-01 10:42:46.913625,usr-cil,usb_remove,pc87
113,2018-01-01 10:44:01.329847,usr-jeg,usb_remove,pc60
114,2018-01-01 10:45:13.800146,usr-jxf,usb_insert,pc62
115,2018-01-01 10:50:22.547528,usr-oja,usb_insert,pc12
116,2018-01-01 10:50:39.632655,usr-dpa,usb_remove,pc3
117,2018-01-01 10:55:06.750386,usr-yrg,usb_insert,pc34
118,2018-01-01 10:57:57.676874,usr-aha,usb_insert,pc53
119,2018-01-01 10:58:45.348653,usr-zbg,usb_insert,pc92
120,2018-01-01 10:59:10.070916,usr-svn,usb_insert,pc68
121,2018-01-01 11:00:23.775395,usr-aha,usb_remove,pc53
122,2018-01-01 11:04:47.048153,usr-oja,usb_remove,pc12
123,2018-01-01 11:06:10.950806,usr-nvf,usb_insert,pc20
124,2018-01-01 11:09:55.056708,usr-tfl,usb_insert,pc45
125,2018-01-01 11:10:05.822121,usr-jow,usb_insert,pc48
126,2018-01-01 11:12:20.133269,usr-ram,usb_insert,pc8
127,2018-01-01 11:15:17.751288,usr-ufr,usb_insert,pc40
128,2018-01-01 11:16:11.216202,usr-dpa,usb_insert,pc3
129,2018-01-01 11:16:14.005354,usr-qpa,usb_insert,pc70
130,2018-01-01 11:16:21.127300,usr-qpa,usb_remove,pc70
131,2018-01-01 11:17:08.568329,usr-ram,usb_remove,pc8
132,2018-01-01 11:19:11.877229,usr-jxt,usb_insert,pc99
133,2018-01-01 11:20:52.819276,usr-aha,usb_insert,pc53
134,2018-01-01 11:21:19.238108,usr-nqv,usb_remove,pc16
135,2018-01-01 11:21:33.165893,usr-aha,usb_insert,pc53
136,2018-01-01 11:24:28.493135,usr-jeg,usb_remove,pc60
137,2018-01-01 11:24:40.055212,usr-vrt,usb_insert,pc31
138,2018-01-01 11:26:27.647363,usr-jow,usb_remove,pc48
139,2018-01-01 11:28:18.335453,usr-tqi,usb_insert,pc79
140,2018-01-01 11:29:16.547838,usr-kng,usb_insert,pc73
141,2018-01-01 11:33:38.608269,usr-fvi,usb_insert,pc47
142,2018-01-01 11:33:41.562613,usr-ram,usb_remove,pc8
143,2018-01-01 11:37:29.774264,usr-jxf,usb_remove,pc62
144,2018-01-01 11:37:52.743768,usr-dmr,usb_insert,pc74
145,2018-01-01 11:38:03.267196,usr-yrg,usb_remove,pc34
146,2018-01-01 11:38:25.134086,usr-ffq,usb_insert,pc27
147,2018-01-01 11:38:41.598142,usr-awo,usb_insert,pc5
148,2018-01-01 11:42:05.371187,usr-pkd,usb_insert,pc97
149,2018-01-01 11:42:55.971217,usr-zbg,usb_remove,pc92
150,2018-01-01 11:47:21.594036,usr-tfl,usb_remove,pc45
